<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,144700,3686.9100000,3687.3200000,3686.6400000,3687.0500000,55
20210104,144800,3686.9600000,3687.5900000,3685.0900000,3685.4500000,58
20210104,144900,3685.4000000,3685.4000000,3682.5600000,3682.5600000,58
20210104,145000,3682.4800000,3683.0300000,3681.3300000,3681.3900000,55
20210104,145100,3681.3700000,3681.7300000,3680.4900000,3680.9900000,58
20210104,145200,3680.9800000,3681.6300000,3680.5600000,3681.3300000,56
20210104,145300,3681.3900000,3682.3400000,3681.2200000,3681.4700000,56
20210104,145400,3681.4900000,3682.0900000,3680.9300000,3681.7600000,55
20210104,145500,3681.7700000,3684.1800000,3681.4700000,3684.1800000,56
20210104,145600,3684.4500000,3688.5200000,3684.4500000,3687.6000000,59
20210104,145700,3687.6600000,3693.2100000,3687.5300000,3693.2100000,58
20210104,145800,3693.1700000,3693.7800000,3692.1800000,3693.3500000,59
20210104,145900,3693.3100000,3694.4800000,3692.3400000,3693.8600000,57
20210104,150000,3693.7800000,3694.8800000,3693.2300000,3693.2300000,58
20210104,150100,3693.2000000,3694.2100000,3692.7200000,3692.7400000,56
20210104,150200,3692.8500000,3692.8500000,3686.6000000,3686.6000000,58
20210104,150300,3686.5900000,3686.8600000,3685.2400000,3686.4900000,58
20210104,150400,3686.0800000,3686.8600000,3684.9200000,3684.9200000,57
20210104,150500,3684.9400000,3688.0500000,3684.9400000,3687.7200000,58
20210104,150600,3687.7900000,3692.8200000,3687.7900000,3691.4900000,60
20210104,150700,3691.4800000,3691.5500000,3690.3700000,3690.7200000,55
20210104,150800,3690.7500000,3692.3100000,3690.4200000,3690.5700000,54
20210104,150900,3690.5500000,3690.5500000,3689.3300000,3689.9100000,60
20210104,151000,3689.8700000,3691.6900000,3689.7700000,3691.5400000,57
20210104,151100,3691.5500000,3691.5800000,3690.1500000,3690.5000000,56
20210104,151200,3690.4600000,3693.1800000,3690.4600000,3692.9400000,60
20210104,151300,3692.9700000,3692.9700000,3690.7100000,3690.7100000,55
20210104,151400,3690.6500000,3693.3900000,3690.6500000,3692.7300000,55
20210104,151500,3692.6900000,3693.2100000,3691.9900000,3692.8400000,58
20210104,151600,3692.8200000,3692.8200000,3692.2300000,3692.2600000,56
20210104,151700,3692.2900000,3692.6000000,3689.0300000,3689.0300000,55
20210104,151800,3689.0500000,3689.2900000,3687.9500000,3688.0000000,55
20210104,151900,3688.0100000,3688.6800000,3687.4600000,3688.5800000,55
20210104,152000,3688.6200000,3689.8500000,3688.2800000,3688.3700000,51
20210104,152100,3688.3800000,3689.1500000,3688.3800000,3688.7700000,55
20210104,152200,3688.7200000,3688.8900000,3688.5000000,3688.8900000,56
20210104,152300,3688.8600000,3689.4400000,3687.7400000,3688.7700000,55
20210104,152400,3688.8300000,3690.9500000,3688.7400000,3689.9300000,58
20210104,152500,3689.9200000,3689.9500000,3688.5400000,3689.6100000,54
20210104,152600,3689.6700000,3690.5200000,3689.1700000,3690.5200000,58
20210104,152700,3690.5800000,3691.8800000,3690.2200000,3690.9600000,56
20210104,152800,3690.9700000,3691.4000000,3689.5700000,3689.5700000,54
20210104,152900,3689.5400000,3690.1100000,3689.2800000,3690.1100000,52
20210104,153000,3690.0600000,3690.4000000,3687.6000000,3687.7500000,57
20210104,153100,3687.6300000,3688.2000000,3686.7100000,3687.4800000,52
20210104,153200,3687.5000000,3689.2500000,3686.4800000,3689.2500000,59
20210104,153300,3689.4800000,3694.2900000,3689.4300000,3694.0700000,59
20210104,153400,3694.6100000,3697.1700000,3694.6100000,3695.5100000,55
